kind,item,category,class,estimate,se,boundary,lo,hi,segment_label
rho,electoral_tribunal,1,2,0.5362624440437895,0.057097192626110724,FALSE,0.42334428159645937,0.645580678397787,Generalized Institutional Distrust
rho,electoral_tribunal,2,2,0.13499160950070774,0.04903411999196322,FALSE,0.06365268465705753,0.2637616230151954,Generalized Institutional Distrust
rho,electoral_tribunal,3,2,0.12629476641447412,0.029781238785829046,FALSE,0.07811518480346377,0.19781403069324743,Generalized Institutional Distrust
rho,electoral_tribunal,4,2,0.031480338738568286,0.016169953146417337,FALSE,0.011251387396610937,0.08495414579706104,Generalized Institutional Distrust
rho,electoral_tribunal,5,2,0.07158460613149241,0.02071323454109597,FALSE,0.03994940849934449,0.1250091725013992,Generalized Institutional Distrust
rho,electoral_tribunal,6,2,0.03843137409975894,0.016325314125026285,FALSE,0.01639996951043021,0.08742861448129374,Generalized Institutional Distrust
rho,electoral_tribunal,7,2,0.060954861071208934,0.02481431210137599,FALSE,0.026787948407109644,0.1327557146755212,Generalized Institutional Distrust
rho,electoral_tribunal,1,3,0.11130449336745281,0.021946818014631195,FALSE,0.07470492813799082,0.1626824224831017,Presidential and Military Trust
rho,electoral_tribunal,2,3,0.2230966969147475,0.036454788314209466,FALSE,0.15923367158621002,0.3033321849793049,Presidential and Military Trust
rho,electoral_tribunal,3,3,0.23989912122775214,0.025253054347187807,FALSE,0.19352011135337432,0.2933502635826972,Presidential and Military Trust
rho,electoral_tribunal,4,3,0.24486945893542572,0.030880372780451065,FALSE,0.18897860350823412,0.3109524789273821,Presidential and Military Trust
rho,electoral_tribunal,5,3,0.139154970252286,0.023827423500720857,FALSE,0.09832636713788667,0.19330253935744585,Presidential and Military Trust
rho,electoral_tribunal,6,3,0.023155596427500712,0.012199802293407799,FALSE,0.008086414925132039,0.06448097537905756,Presidential and Military Trust
rho,electoral_tribunal,7,3,0.01851966287483507,0.013828986065734128,FALSE,0.004169222972698066,0.07837667352560229,Presidential and Military Trust
rho,electoral_tribunal,1,4,0.038626022369952114,0.016853620136492577,FALSE,0.016101493859118184,0.08978492134677066,Broad High Institutional Trust
rho,electoral_tribunal,2,4,0.019923735995671234,0.011467779012141407,FALSE,0.006318482358260231,0.061025328559357515,Broad High Institutional Trust
rho,electoral_tribunal,3,4,0.00671781458054743,0.006776819171058909,FALSE,9.055100750171396e-4,0.0480441818309189,Broad High Institutional Trust
rho,electoral_tribunal,4,4,0.04665237547768987,0.020116579634182986,FALSE,0.019601571285229828,0.10696136032084844,Broad High Institutional Trust
rho,electoral_tribunal,5,4,0.015981609872880876,0.011892121862618541,FALSE,0.003623445739875044,0.06762786004145561,Broad High Institutional Trust
rho,electoral_tribunal,6,4,0.16888748750001165,0.035549785037493606,FALSE,0.10960895826523219,0.25118104772474453,Broad High Institutional Trust
rho,electoral_tribunal,7,4,0.7032109542032468,0.04558221541412858,FALSE,0.6059736900423969,0.7849672670747199,Broad High Institutional Trust
rho,electoral_tribunal,1,5,3.3542940329129253e-15,3.192904849472214e-16,TRUE,2.7224275497070474e-15,3.9861605161188035e-15,Concentrated High Institutional Trust
rho,electoral_tribunal,2,5,3.3542940329129253e-15,3.192904849472214e-16,TRUE,2.7224275497070474e-15,3.9861605161188035e-15,Concentrated High Institutional Trust
rho,electoral_tribunal,3,5,0.006667300645242152,0.007985539109553972,FALSE,6.170110261885139e-4,0.06800826601005726,Concentrated High Institutional Trust
rho,electoral_tribunal,4,5,0.06297187714087167,0.01660506148311082,FALSE,0.037078687415507204,0.10497581308439449,Concentrated High Institutional Trust
rho,electoral_tribunal,5,5,0.2708691248195901,0.03277560640023009,FALSE,0.2110456399073433,0.34033518384775796,Concentrated High Institutional Trust
rho,electoral_tribunal,6,5,0.40706560589881946,0.031187025270041583,FALSE,0.34709884039103017,0.46993565765915957,Concentrated High Institutional Trust
rho,electoral_tribunal,7,5,0.25242609149546985,0.03526909053351733,FALSE,0.1891440736826657,0.3283079400547844,Concentrated High Institutional Trust
rho,armed_forces,1,1,0.02089943145249335,0.007787863830166002,FALSE,0.0099509403304905,0.04336632270412107,Moderate Institutional Trust
rho,armed_forces,2,1,0.021205731533081095,0.007841203217628266,FALSE,0.010154178598379637,0.043753836985852834,Moderate Institutional Trust
rho,armed_forces,3,1,0.07445043471702413,0.014485886409678407,FALSE,0.05038910963782711,0.10868627616533859,Moderate Institutional Trust
rho,armed_forces,4,1,0.16479341375547088,0.026648390906588326,FALSE,0.11855942420201522,0.22446564412038475,Moderate Institutional Trust
rho,armed_forces,5,1,0.2767914616113155,0.025819312626538693,FALSE,0.2286968014972647,0.3306643051570284,Moderate Institutional Trust
rho,armed_forces,6,1,0.24384859772031026,0.026902611822816374,FALSE,0.19459376870285872,0.3009126769660678,Moderate Institutional Trust
rho,armed_forces,7,1,0.19801092921030475,0.023919784637371724,FALSE,0.15487620749480951,0.2496109075805323,Moderate Institutional Trust
rho,armed_forces,1,2,0.4200523122826213,0.05028344984819786,FALSE,0.3249665533646347,0.5214674636160443,Generalized Institutional Distrust
rho,armed_forces,2,2,0.06894486412897376,0.028792271859744686,FALSE,0.02957933677368088,0.15246860833956755,Generalized Institutional Distrust
rho,armed_forces,3,2,0.12202708257640389,0.02962125634014744,FALSE,0.07443200579799243,0.193687723803234,Generalized Institutional Distrust
rho,armed_forces,4,2,0.12272144686412743,0.02870521196995117,FALSE,0.07624093284529908,0.19165964619612158,Generalized Institutional Distrust
rho,armed_forces,5,2,0.09165763568133366,0.024617268141352247,FALSE,0.053216463224316946,0.15336882999830495,Generalized Institutional Distrust
rho,armed_forces,6,2,0.08104941166285293,0.02438481972922698,FALSE,0.0441045066975083,0.14427101883083723,Generalized Institutional Distrust
rho,armed_forces,7,2,0.09354724680368703,0.028032487143127154,FALSE,0.050917272734700036,0.16563963890324773,Generalized Institutional Distrust
rho,armed_forces,1,3,0.058639816648284875,0.01782117811183124,FALSE,0.03183600159652985,0.10555039117908925,Presidential and Military Trust
rho,armed_forces,2,3,0.12265181897732272,0.023605817736190818,FALSE,0.0830449100574211,0.17749214146549663,Presidential and Military Trust
rho,armed_forces,3,3,0.18911659891523933,0.02644475117801106,FALSE,0.14221362609700813,0.2470335912466514,Presidential and Military Trust
rho,armed_forces,4,3,0.1873674069004003,0.026842325085173924,FALSE,0.13990445722659345,0.2463208889712067,Presidential and Military Trust
rho,armed_forces,5,3,0.17789938128085142,0.026107683297965468,FALSE,0.13193973184144964,0.23552478520170286,Presidential and Military Trust
rho,armed_forces,6,3,0.1375833291150424,0.025246424999677507,FALSE,0.09478333840407313,0.19553519121723567,Presidential and Military Trust
rho,armed_forces,7,3,0.1267416481628589,0.01834156591962086,FALSE,0.09465861113013976,0.16768466531155776,Presidential and Military Trust
rho,armed_forces,1,4,0.0626685328680242,0.019602100533589538,FALSE,0.033389129999678656,0.11457993986409569,Broad High Institutional Trust
rho,armed_forces,2,4,0.006363666671063217,0.006395949072188629,FALSE,8.644823829113246e-4,0.045259874469355615,Broad High Institutional Trust
rho,armed_forces,3,4,0.04754453820196759,0.018961050926864183,FALSE,0.021331703231291136,0.10259164830525094,Broad High Institutional Trust
rho,armed_forces,4,4,0.019610721068881034,0.012627439114787479,FALSE,0.0054231996470811925,0.06836276034972893,Broad High Institutional Trust
rho,armed_forces,5,4,0.06461794666564823,0.022844241038651864,FALSE,0.0316634968983752,0.12735942011089862,Broad High Institutional Trust
rho,armed_forces,6,4,0.07835576024075304,0.028403069891125367,FALSE,0.037570499645000345,0.15622903910189845,Broad High Institutional Trust
rho,armed_forces,7,4,0.7208388342836627,0.04671633780322986,FALSE,0.6199181814571605,0.8034584574867172,Broad High Institutional Trust
rho,armed_forces,1,5,0.0022255815538176596,0.0029697470143133942,FALSE,1.581076794530778e-4,0.03050331157458104,Concentrated High Institutional Trust
rho,armed_forces,2,5,0.00646286888715793,0.007131891335704861,FALSE,7.216609832716512e-4,0.05534868017935112,Concentrated High Institutional Trust
rho,armed_forces,3,5,0.003444458435634423,0.0034879575129386554,FALSE,4.624881338724162e-4,0.02516904258270451,Concentrated High Institutional Trust
rho,armed_forces,4,5,0.04429233579931815,0.013734625419787247,FALSE,0.023805616647629736,0.08094763348393094,Concentrated High Institutional Trust
rho,armed_forces,5,5,0.24498129789923695,0.028952587295226106,FALSE,0.1922698288305324,0.30665742194691187,Concentrated High Institutional Trust
rho,armed_forces,6,5,0.3590112008621802,0.030001503662214043,FALSE,0.302027653793129,0.4202722484053005,Concentrated High Institutional Trust
rho,armed_forces,7,5,0.3395822565626547,0.03636044142122009,FALSE,0.27170121667146907,0.4147642763296678,Concentrated High Institutional Trust
rho,legislature,1,1,0.01688906766104396,0.006158308329522581,FALSE,0.00817837713527911,0.0345541841429566,Moderate Institutional Trust
rho,legislature,2,1,0.033743552154971684,0.01172700611181714,FALSE,0.016849920576674123,0.0664301973998722,Moderate Institutional Trust
rho,legislature,3,1,0.10241712264058235,0.021311707516880354,FALSE,0.06726771176776797,0.15292194387317942,Moderate Institutional Trust
rho,legislature,4,1,0.3816462780566505,0.027955784754811964,FALSE,0.3280547468709291,0.43828221222701297,Moderate Institutional Trust
rho,legislature,5,1,0.30017491095209425,0.029140772348662886,FALSE,0.24582831084009615,0.3607884929924666,Moderate Institutional Trust
rho,legislature,6,1,0.12794243407503728,0.023231984570642267,FALSE,0.08856042904350653,0.18135266068070452,Moderate Institutional Trust
rho,legislature,7,1,0.03718663445961995,0.009164720162798278,FALSE,0.022743525196812255,0.06023638901975527,Moderate Institutional Trust
rho,legislature,1,2,0.5972988142298377,0.05239878188949722,FALSE,0.4907797479724064,0.6953667041425861,Generalized Institutional Distrust
rho,legislature,2,2,0.16393718437358842,0.03301201237177127,FALSE,0.10852804801734947,0.24001897121437119,Generalized Institutional Distrust
rho,legislature,3,2,0.11850947779607653,0.030825545342543927,FALSE,0.06974738113519452,0.19424393005363189,Generalized Institutional Distrust
rho,legislature,4,2,0.0556731447199086,0.026453377711912453,FALSE,0.021316451594031664,0.13761762898075935,Generalized Institutional Distrust
rho,legislature,5,2,0.033291463637186484,0.0206273642440587,FALSE,0.009593864070156902,0.10907731736588346,Generalized Institutional Distrust
rho,legislature,6,2,6.548567296562206e-15,6.992489943686612e-16,TRUE,5.164774093235125e-15,7.932360499889287e-15,Generalized Institutional Distrust
rho,legislature,7,2,0.03128991524339577,0.020270078199760126,FALSE,0.008525884488429725,0.10820072763509167,Generalized Institutional Distrust
rho,legislature,1,3,0.09748070232043524,0.02287143438298032,FALSE,0.06065374782261139,0.15302517144365865,Presidential and Military Trust
rho,legislature,2,3,0.18736078128002936,0.02466610785983351,FALSE,0.14333637913037534,0.24110128880627432,Presidential and Military Trust
rho,legislature,3,3,0.28194784955191576,0.02424997887327117,FALSE,0.23651850801502863,0.3323051173036584,Presidential and Military Trust
rho,legislature,4,3,0.23154450468438423,0.030580775862642757,FALSE,0.17657416664010217,0.2974462000375778,Presidential and Military Trust
