strata,upm,wt,post_class1,post_class2,post_class3,post_class4,post_class5,post_class6,modal_class,max_posterior
103,15,1,5.97733869284615e-65,0.9986619912744594,5.137687559842511e-77,4.859672464032877e-7,3.286916578054938e-93,0.0013375227582942022,2,0.9986619912744594
101,67,1,2.484987828596533e-13,3.1264026010019906e-9,0.002142263875526053,3.4625202525992416e-4,6.521484106446212e-11,0.9975114809073484,6,0.9975114809073484
101,45,1,3.892393328210574e-9,9.488562505418654e-13,0.8996156459598859,0.08008464172302425,0.020299690942289523,1.748145875452174e-8,3,0.8996156459598859
101,54,1,3.271503196900081e-50,0.01398204161686692,6.40378713787849e-45,8.128195748302296e-4,2.026001090997887e-52,0.9852051388083014,6,0.9852051388083014
101,47,1,5.325335279712666e-26,7.763815727266976e-8,3.765235409400376e-4,5.376814063081076e-4,2.3436418810619606e-12,0.9990857174122507,6,0.9990857174122507
101,54,1,1.1279555959160351e-9,1.4098652822892919e-27,0.9714991118793906,0.0018680088477529115,0.026632878144901923,2.3726270738096852e-35,3,0.9714991118793906
103,15,1,5.768567098571369e-42,0.9999999992710062,5.975458956868158e-108,3.140339603187827e-11,1.2687375224321862e-120,6.975908094821505e-10,2,0.9999999992710062
101,33,1,2.402588274691786e-24,5.161897623824044e-8,0.4740136799433237,0.10152821684992086,5.531448928871426e-6,0.4244525201388498,3,0.4740136799433237
103,15,1,1.3385302859858519e-18,2.4989590772634018e-23,0.022214366196439034,0.9299105964728133,0.047875037330746856,2.807605614689115e-34,4,0.9299105964728133
103,15,1,0.9999999934734802,9.977688028003494e-16,7.912600395128216e-71,1.1837590597402462e-11,6.514681950189192e-9,1.0331931225055025e-109,1,0.9999999934734802
101,67,1,2.0643204218774796e-36,0.9999999984645864,1.7009185858084306e-94,1.5354135845625103e-9,4.688570796269049e-92,2.813869475165414e-23,2,0.9999999984645864
101,64,1,4.126863881773369e-7,4.460531079782092e-11,0.554467424112927,0.30483870733356006,0.14069345582252055,8.373497806095627e-20,3,0.554467424112927
103,117,1,1.1875761827028555e-42,0.9999999996871765,2.0506997869769079e-109,1.3714013195266094e-11,3.9546241856901035e-122,2.9911012026309677e-10,2,0.9999999996871765
101,64,1,1.0073387578758875e-36,0.8229135476230365,6.281579242804459e-23,0.00493325266012029,3.1960142437812624e-43,0.17215319971684306,2,0.8229135476230365
101,64,1,2.5685508881285505e-16,2.057160643435102e-8,4.561435640314518e-6,7.0569532924522935e-6,2.3472383054897837e-18,0.9999883610394605,6,0.9999883610394605
101,45,1,1.9244203960739463e-8,1.9278717925907162e-7,0.0038243579956677293,0.9961754299729503,2.2072293773603442e-33,6.408030651149448e-19,4,0.9961754299729503
101,54,1,2.6860926277178814e-40,0.0022845392316482808,3.306724225026813e-8,6.711623209786847e-4,7.491389538254185e-32,0.997044265380131,6,0.997044265380131
101,54,1,2.3035539527882383e-25,1.8597185867112906e-9,7.005555017183936e-4,0.0016608948484310878,8.157935382618952e-11,0.9976385477085535,6,0.9976385477085535
103,118,1,1.3435393927104644e-7,1.6052426116269133e-21,0.0014811754311275826,0.9965619877431652,0.001869956052701802,8.67464190665711e-5,4,0.9965619877431652
101,98,1,1.5817609147508453e-12,4.830386326833633e-7,0.0010247299912785571,0.0021701305868977775,9.844829470208941e-23,0.9968046563816093,6,0.9968046563816093
101,33,1,2.3848731419145572e-30,4.935505553091681e-18,5.922643834608786e-18,1,6.357589031856085e-19,1.1029756292008572e-29,4,1
103,117,1,3.772937032141328e-4,1.0118290376906655e-23,1.0980917858212862e-15,0.13270571902429093,0.8669169872724921,9.18386929435063e-35,5,0.8669169872724921
103,42,1,1.5084068716412926e-10,5.5337220762764416e-15,0.9989056548202107,8.308246854500193e-4,2.619439152385146e-4,1.5764282553151195e-6,3,0.9989056548202107
103,118,1,5.416852336096714e-23,8.121259963298415e-9,0.0542744875501517,0.9425097939566652,4.85304623227027e-5,0.0031671799096007164,4,0.9425097939566652
101,67,1,4.1858730209497337e-51,4.942501787060892e-4,5.696519368560693e-34,9.338567455293127e-5,1.2761111442450308e-28,0.9994123641467398,6,0.9994123641467398
103,2,1,2.9657818025455467e-7,1.5786588609132615e-08,0.004322568963370864,0.9952871734386821,3.728643844815964e-4,1.7080848697780913e-5,4,0.9952871734386821
101,98,1,6.547773960342362e-10,4.0427525898275965e-10,0.9278678027671454,0.07018383303568401,1.3900889909019225e-4,0.0018093542390260732,3,0.9278678027671454
103,2,1,6.771668073456801e-7,2.9099065042908822e-49,1.0907046799536029e-4,0.00376123932265868,0.9961290130425394,7.761317196323068e-50,5,0.9961290130425394
101,98,1,1.4390213283925091e-6,2.703442756443944e-34,0.07246417767447434,0.8564803148762877,0.0710535311344924,5.372934181709305e-7,4,0.8564803148762877
101,64,1,5.79607277720302e-7,8.729638617437362e-40,0.0011784023372197949,5.131193533541957e-4,0.9983078987021491,1.55372918883579e-37,5,0.9983078987021491
101,45,1,5.748347090738431e-39,3.3605343232361594e-5,4.4091149428245634e-20,8.475451019636731e-4,1.3051297709134508e-19,0.9991188495548039,6,0.9991188495548039
103,92,1,8.6322929759861115e-19,4.79128869024936e-14,3.6744637829746984e-44,0.9999999999999538,3.430251437304357e-67,4.2057539362457386e-32,4,0.9999999999999538
103,69,1,2.9286691858668164e-20,3.027756767353306e-25,0.13832165917662867,0.809991650767948,0.05168669005542494,1.8085106790941566e-33,4,0.809991650767948
103,15,1,0.999999997052976,2.9175420338395554e-14,2.890353825131481e-71,2.701020626406257e-11,2.9199844814420428e-9,6.827948874542133e-109,1,0.999999997052976
103,42,1,0.9999999993264908,1.7012076508770186e-16,1.488409454675411e-72,2.3895596856705426e-12,6.711203316406227e-10,6.097560540405185e-111,1,0.9999999993264908
103,15,1,2.99675224310837e-25,6.345376586978859e-6,8.905194666542248e-18,0.0035208724128869603,4.631428548581664e-24,0.9964727822105247,6,0.9964727822105247
103,69,1,7.235244951658779e-12,6.230456283528746e-5,0.003318168320499295,0.011547178230404936,3.4489165202583186e-21,0.9850723488790256,6,0.9850723488790256
101,45,1,7.127368561217541e-22,6.910246370328958e-22,0.9506185374914552,0.04938146250854344,3.7139902600584282e-16,5.535436805763766e-17,3,0.9506185374914552
103,117,1,1.7653529661618568e-17,3.703050479410342e-32,5.417365475802998e-15,0.9091803748134326,0.0908196251865637,1.1085179650531942e-18,4,0.9091803748134326
103,69,1,0.007106272915381891,6.803249194099209e-35,0.009583541906602168,0.3081769348498856,0.6751332503281295,1.9654119510705847e-33,5,0.6751332503281295
101,67,1,5.203073225836951e-29,2.8005449049508444e-5,9.711167150873624e-20,9.703908716736336e-6,2.6598811754393255e-32,0.9999622906422343,6,0.9999622906422343
103,117,1,1.8915082537453057e-11,7.355126864784651e-6,1.9000484833282557e-28,7.13818798544497e-4,8.147130933322356e-26,0.9992788260556772,6,0.9992788260556772
101,33,1,0.9933208622667555,2.2422222200344238e-5,3.845589565520928e-20,0.0031535395440990596,0.0035031759669450066,1.2725775938345968e-20,1,0.9933208622667555
101,64,1,4.021949943821262e-53,3.3232957587246974e-5,1.7516426829366923e-8,1.425946320481674e-5,2.662158948654042e-21,0.9999524900627815,6,0.9999524900627815
101,33,1,4.793184796554164e-9,2.3355122580938215e-21,0.9098637238431194,0.0889559689750403,0.0011693182307977179,1.0984157857947476e-5,3,0.9098637238431194
101,47,1,4.239149936056441e-21,3.5469187851754358e-9,0.03537967216527887,0.9626240359094184,0.0019875495035200294,8.73887486223886e-6,4,0.9626240359094184
103,2,1,0.9999999891149312,5.962186170271654e-15,1.8196139992323587e-70,3.7606725161995086e-11,1.0847456402503476e-8,2.070450156136041e-108,1,0.9999999891149312
103,69,1,0.007165944842642503,2.181954171248307e-51,7.294848852403755e-11,2.005472643994099e-4,0.9926335078200086,2.6377144907551455e-66,5,0.9926335078200086
101,54,1,4.461588548183753e-7,4.525857537868715e-53,1.5058934252291483e-5,1.498570593452577e-4,0.999834637847547,2.58984571081947e-56,5,0.999834637847547
103,117,1,0.9984758688776901,2.6631236663710283e-39,1.7729292906668261e-40,1.5966369482499966e-6,0.0015225344853607517,3.50641059586104e-71,1,0.9984758688776901
103,118,1,2.3222217931284807e-8,1.619988807414967e-35,0.9079565968058628,0.08658196748200654,0.005459132547605009,2.2799423080921438e-6,3,0.9079565968058628
101,67,1,3.1360401604073286e-25,7.111277828525913e-7,0.007008819407795601,0.006621291844560061,1.201987680964677e-13,0.9863691776197415,6,0.9863691776197415
103,15,1,0.7883078778436079,1.0657250812010803e-48,7.884574855592473e-23,0.0019495557442015315,0.20974256641218889,5.6253836562927276e-39,1,0.7883078778436079
101,98,1,1.6416755878414456e-35,1.2095176361145499e-9,0.8706139263367862,0.055786108580467106,9.287640849998898e-18,0.07359996387323071,3,0.8706139263367862
103,118,1,1.770179466289975e-20,8.614458830329135e-27,0.08878584737963585,0.0053799909533849945,0.905834161666978,3.067769227630259e-23,5,0.905834161666978
101,47,1,4.914793954631175e-51,0.9774210954100672,6.8815635358423e-48,2.9763139803644274e-5,1.9182615374602665e-76,0.022549141450130705,2,0.9774210954100672
101,64,1,4.998618156638507e-15,6.400966354296078e-4,1.944477716405799e-33,9.077746452184523e-5,1.5178426113690768e-31,0.9992691259000429,6,0.9992691259000429
101,33,1,1.5814435004188136e-25,0.08853033098496776,1.1157818527991437e-32,0.0027243162115702228,1.3856429680381028e-54,0.9087453528034632,6,0.9087453528034632
101,45,1,4.173428053331787e-24,1.0987443210138097e-12,0.9977299989343421,0.0018936039067721597,3.7595480855478455e-4,4.4234923224052454e-7,3,0.9977299989343421
101,33,1,1.0146898932960898e-13,6.204919331368275e-9,0.009230665790921003,5.956955290218148e-4,2.353336672688693e-10,0.9901736322397026,6,0.9901736322397026
103,15,1,1.1875761827028555e-42,0.9999999996871765,2.0506997869769079e-109,1.3714013195266094e-11,3.9546241856901035e-122,2.9911012026309677e-10,2,0.9999999996871765
101,45,1,2.9256729686924295e-21,1.2188782320217184e-5,1.266558750409946e-15,0.588018894802298,1.3683308615637595e-21,0.4119689164153812,4,0.588018894802298
103,69,1,3.9577210170356647e-23,9.67975934817243e-12,0.9882358262542137,0.005151682950655448,1.7843546004493143e-5,0.006594647239446474,3,0.9882358262542137
101,47,1,1.1008054497776601e-21,1.2361436942227978e-6,5.227743329451596e-16,0.0068115226431168935,5.239977298827116e-13,0.9931872412126641,6,0.9931872412126641
